timestamp,product,price,rsi,ema9,ema21,atr,atrPct,bbLower,bbUpper,trend,ofi,arbSpread,socialScore,btcPrice,btcRsi,action,confidence,outcome_5m,outcome_15m,outcome_1h
1789922884224,XRP,1.40890000,77.10,1.40000000,1.39000000,0.01000000,0.5000,1.36000000,1.41000000,UPTREND,0.0000,-0.0494,0.4440,81314.27,77.04,HOLD,0.5000,0.0852,0.0710,-0.2058
1789922884371,SOL,110.16000000,75.10,109.39000000,108.87000000,0.49000000,0.4500,107.11000000,110.12000000,UPTREND,0.0000,-0.0523,0.3540,81314.27,77.04,SELL,0.7200,-0.0091,0.0182,0.1180
1789922884398,NEAR,4.22420000,81.20,4.05000000,3.87000000,0.09000000,2.2000,3.38000000,4.27000000,UPTREND,0.0000,0.0428,0.3180,81314.27,77.04,HOLD,0.5000,1.0179,0.3362,-2.2300
1789922884531,AVAX,11.17700000,68.40,11.13000000,10.85000000,0.26000000,2.3200,10.15000000,11.56000000,UPTREND,0.0000,0.0493,0.3260,81314.27,77.04,SELL,0.8900,1.2078,0.7247,-1.0110
1789922884768,SUI,0.91520000,87.90,0.88000000,0.85000000,0.01000000,1.4500,0.78000000,0.91000000,UPTREND,0.0000,0.0574,0.3260,81314.27,77.04,SELL,0.8700,-1.2128,-0.3934,-1.2456
1789922884795,HYPE,93.12000000,77.50,92.43000000,91.82000000,0.44000000,0.4700,89.91000000,93.21000000,UPTREND,0.0000,-0.0023,0.7060,81314.27,77.04,HOLD,0.5000,-0.0107,0.0322,-0.1933
1789922884825,HBAR,0.08711000,58.30,0.09000000,0.09000000,0.00000000,2.2600,0.08000000,0.09000000,UPTREND,0.0000,-0.0860,0.3260,81314.27,77.04,HOLD,0.5000,-0.1148,0.8151,-0.0804
1789922884858,VVV,28.16440000,45.80,28.47000000,28.57000000,0.61000000,2.1600,27.74000000,29.84000000,DOWNTREND,0.0000,0.0272,0.3260,81314.27,77.04,HOLD,0.5000,-0.4286,-0.3149,0.1932
1789922884890,UNI,8.72390000,52.70,8.72000000,8.70000000,0.09000000,1.0800,8.50000000,8.80000000,UPTREND,0.0000,0.0001,0.3260,81314.27,77.04,HOLD,0.5000,1.0282,0.3874,0.5915
1789922885025,DOGE,0.08738000,82.90,0.09000000,0.09000000,0.00000000,0.5000,0.08000000,0.09000000,UPTREND,0.0000,-0.0895,0.3260,81314.27,77.04,SELL,0.7200,-0.0572,0.1488,
1789922885065,ENA,0.21887000,76.70,0.21000000,0.21000000,0.00000000,1.6500,0.19000000,0.22000000,UPTREND,0.0000,-0.0635,0.3260,81314.27,77.04,HOLD,0.5000,1.0234,1.8139,3.6597
1789922885100,LINK,12.54500000,87.70,12.40000000,12.27000000,0.08000000,0.6300,11.88000000,12.56000000,UPTREND,0.0000,0.0590,0.3260,81314.27,77.04,HOLD,0.5000,0.0717,-0.3268,-0.4384
1789922914280,BTC,81238.50000000,72.30,81052.52000000,80816.76000000,214.52000000,0.2600,80097.78000000,81361.95000000,UPTREND,0.0000,-0.0125,0.5780,81231.75,71.94,HOLD,0.5000,0.0450,0.0919,0.1365
1789922914314,ETH,2634.69000000,75.40,2619.38000000,2602.94000000,12.41000000,0.4700,2551.55000000,2640.78000000,UPTREND,0.0000,0.0017,0.3800,81231.75,71.94,HOLD,0.5000,0.0797,0.2501,-0.0535
1789922914472,ZEC,1447.68000000,53.30,1446.00000000,1444.48000000,11.18000000,0.7700,1431.85000000,1456.03000000,UPTREND,0.0000,-0.0539,0.3340,81231.75,71.94,HOLD,0.5000,0.0014,-0.1831,0.6403
1789922914501,XRP,1.40680000,73.50,1.40000000,1.39000000,0.01000000,0.5100,1.36000000,1.41000000,UPTREND,0.0000,-0.0329,0.4440,81231.75,71.94,HOLD,0.5000,0.1635,0.2914,-0.1208
1789922914534,SOL,109.92000000,69.60,109.32000000,108.83000000,0.49000000,0.4500,107.16000000,110.03000000,UPTREND,0.0000,-0.0328,0.3540,81231.75,71.94,HOLD,0.5000,0.1547,0.3002,0.2365
1789922914565,NEAR,4.20300000,78.90,4.04000000,3.87000000,0.09000000,2.2200,3.38000000,4.26000000,UPTREND,0.0000,-0.0013,0.3180,81231.75,71.94,HOLD,0.5000,1.8082,0.6138,-1.8867
1789922914701,AVAX,11.15700000,67.90,11.12000000,10.85000000,0.26000000,2.3300,10.15000000,11.56000000,UPTREND,0.0000,-0.0583,0.3260,81231.75,71.94,SELL,0.8900,1.2638,1.3893,-0.8694
1789922914947,SUI,0.90410000,84.70,0.87000000,0.85000000,0.01000000,1.4700,0.78000000,0.90000000,UPTREND,0.0000,0.0553,0.3260,81231.75,71.94,SELL,0.8700,-0.0221,1.2830,-0.1770
1789922914975,HYPE,92.96000000,74.40,92.38000000,91.80000000,0.44000000,0.4700,89.95000000,93.13000000,UPTREND,0.0000,-0.0356,0.7060,81231.75,71.94,HOLD,0.5000,0.1936,0.2474,-0.0645
1789922915006,HBAR,0.08744000,59.50,0.09000000,0.09000000,0.00000000,2.2700,0.08000000,0.09000000,UPTREND,0.0000,-0.0340,0.3260,81231.75,71.94,HOLD,0.5000,-0.4346,0.4918,-0.5032
1789922915038,VVV,28.07800000,44.80,28.44000000,28.55000000,0.61000000,2.1800,27.71000000,29.86000000,DOWNTREND,0.0000,-0.0914,0.3260,81231.75,71.94,HOLD,0.5000,0.1489,0.0299,0.5371
1789922915066,UNI,8.73120000,53.40,8.72000000,8.70000000,0.09000000,1.0800,8.50000000,8.81000000,UPTREND,0.0000,-0.0029,0.3260,81231.75,71.94,HOLD,0.5000,0.9724,0.4627,0.4215
1789922915090,DOGE,0.08723000,78.70,0.09000000,0.09000000,0.00000000,0.5000,0.08000000,0.09000000,UPTREND,0.0000,-0.0961,0.3260,81231.75,71.94,HOLD,0.5000,0.1720,0.4700,
1789922915114,ENA,0.21880000,75.60,0.21000000,0.21000000,0.00000000,1.6800,0.19000000,0.22000000,UPTREND,0.0000,-0.0977,0.3260,81231.75,71.94,HOLD,0.5000,1.4214,1.8921,3.8026
1789922915137,LINK,12.53900000,87.60,12.40000000,12.27000000,0.08000000,0.6300,11.88000000,12.56000000,UPTREND,0.0000,-0.0044,0.3260,81231.75,71.94,HOLD,0.5000,0.1914,-0.2791,-0.5024
1789922944927,BTC,81257.86000000,73.50,81059.49000000,80820.13000000,217.27000000,0.2700,80093.41000000,81370.20000000,UPTREND,0.0000,-0.0132,0.5780,81231.75,71.94,HOLD,0.5000,-0.0214,0.0673,0.0825
